Group,Type,Sample,Source,CPM,UNK
K,Mouse,Organ,Thymus,7,0
K,Mouse,Organ,Thymus,5,0
L,Mouse,Organ,Thymus,1,0
L,Mouse,Organ,Thymus,1,0
L,Mouse,Organ,Thymus,4,0
L,Mouse,Organ,Thymus,3,0
M,Mouse,Organ,Thymus,5,0
M,Mouse,Organ,Thymus,0,0
M,Mouse,Organ,Thymus,0,0
M,Mouse,Organ,Thymus,5,0
N,Mouse,Organ,Thymus,8,0
N,Mouse,Organ,Thymus,14,66.92
N,Mouse,Organ,Thymus,17,71.1
N,Mouse,Organ,Thymus,23,239.53
O,Mouse,Organ,Thymus,9,16.91
O,Mouse,Organ,Thymus,9,0
O,Mouse,Organ,Thymus,8,0
O,Mouse,Organ,Thymus,9,0
K,Mouse,Organ,Heart,2,0
K,Mouse,Organ,Heart,5,0
K,Mouse,Organ,Heart,8,0
K,Mouse,Organ,Heart,2,0
L,Mouse,Organ,Heart,0,0
L,Mouse,Organ,Heart,0,0
L,Mouse,Organ,Heart,6,0
L,Mouse,Organ,Heart,2,0
M,Mouse,Organ,Heart,0,0
M,Mouse,Organ,Heart,2,0
M,Mouse,Organ,Heart,0,0
M,Mouse,Organ,Heart,3,0
N,Mouse,Organ,Heart,26,147.96
N,Mouse,Organ,Heart,12,0
N,Mouse,Organ,Heart,30,104.42
N,Mouse,Organ,Heart,24,24.35
O,Mouse,Organ,Heart,52,201.75
O,Mouse,Organ,Heart,28,195.95
O,Mouse,Organ,Heart,45,185.89
O,Mouse,Organ,Heart,40,192.5
K,Mouse,Organ,Lungs,15,0
K,Mouse,Organ,Lungs,15,0.68
K,Mouse,Organ,Lungs,19,167.44
K,Mouse,Organ,Lungs,32,211.97
L,Mouse,Organ,Lungs,3,0
L,Mouse,Organ,Lungs,13,0
L,Mouse,Organ,Lungs,22,162.5
L,Mouse,Organ,Lungs,8,0
M,Mouse,Organ,Lungs,7,0
M,Mouse,Organ,Lungs,5,0
M,Mouse,Organ,Lungs,5,374.86
M,Mouse,Organ,Lungs,7,75.48
